title,description
Bilhete Único Mensal,Cadastre-se
Manifestantes bloqueiam Avenida 23 de Maio - Lista Destaque,Manifestantes bloqueiam Avenida 23 de Maio
Inspeção Veicular,Inspeção Veicular
Faixa Exclusiva,Capital terá mais 7¢9 quilômetros de faixas exclusivas para ônibus a partir de segunda
Prefeitura supera meta de faixas exclusivas,Nesta segunda-feira (7)¢ foram implantados mais 20¢5 quilômetros de novas faixas exclusivas para ônibus em diversas regiões da cidade. Meta anunciada pelo prefeito Haddad era de 220 km até dezembro
IPTU - 2013,Terrenos para habitação de interesse social terão isenção de IPTU
Governo Federal anuncia R$ 769 milhões para mobilidade urbana na Região Metropolitana de São Paulo,Prefeito Fernando Haddad participou de anúncio da presidenta Dilma Rousseff nesta quinta-feira (7). Investimentos de R$ 769 milhões custearão obras de mobilidade urbana em Guarulhos e Osasco¢ ajudando também no deslocamento na cidade de São Paulo
Projeto de lei de revisão da Operação Urbana Água Branca é sancionado,Com arrecadação de quase R$ 3 bilhões em Cepacs¢ operação renderá 5 mil moradias populares¢ dois parques lineares e novos equipamentos públicos
Parque Ibirapuera recebe a última edição de 2013 da Feira de Troca de Livros e Gibis,A ação¢ que acontece no próximo domingo (10)¢ das 10h às 15h¢ é um projeto que procura transformar os parques em verdadeiras “bibliotecas” ao ar livre
Balé da Cidade de São Paulo realiza testes para bailarinos e bailarinas,Inscrições podem ser feitas de 11 a 25 de novembro
Veja o que abre e o que fecha no feriado de 15 de Novembro,Nesta sexta (15)¢ feriado da Proclamação da República¢ alguns serviços terão esquema especial de atendimento.
Abertura do Festival Screen¢ que ocupa o Cine Art Palácio¢ é transferida para o dia 21 de novembro,Artista belga Hans Op de Beeck estará no Brasil para apresentar obra audiovisual em evento realizado pela Prefeitura de São Paulo e correalizado pelo Estúdio Madalena
Bilhete Único Mensal,Cadastre-se
Inscreva-se até 15 de junho,Semana Universitária na Prefeitura de São Paulo acontece entre os dias 14 e 18 de julho¬ inscrições podem ser feitas até o dia 08 de junho
Consulta de locais de reunião,Verifique se o local atende às questões de segurança.
Teatro: Zona Sul ganha nova opção,Abertura será dia 21 de novembro com shows musicais e peças teatrais
Expresso F1 oferece serviços para o grande prêmio,SPTrans oferece serviço para o 42º GP Brasil de Fórmula 1
Sorteio de vagas em pontos de táxi,Inscrições começam hoje¢ acesse e participe
Prefeitura e Governo do Estado anunciam Bilhete Único Mensal Integrado,Com benefício¢ cidadão poderá utilizar ônibus¢ metrô e trem de forma ilimitada pelo custo de R$ 230 mensais. Usuários poderão também optar pelo benefício de forma isolada - só ônibus ou só transporte sobre trilhos - por R$ 140 mensais. Cartão entrará
Árvore de Natal do Ibirapuera será inaugurada dia 8,Atração vai ter o tamanho de um prédio de 20 andares
Ingressos para o Carnaval 2014 já estão à venda,As entradas terão novo sistema de bloqueio que dificultam a falsificação de bilhetes.
Áreas verdes de 16 Subprefeituras recebem manutenção durante a semana,Entre janeiro e setembro deste ano¢ mais de 82 milhões de metros quadrados de grama foram cortados em São Paulo.
Cidade ganha mais de 5¢3 km de faixas exclusivas para ônibus,Vila Prudente¢ Vila Mariana¢ Santana e Carandiru receberam os novos trechos. Até janeiro¢ cidade deve contar com 300 km de vias exclusivas para os coletivos. Capital já conta com 248¢7 km instalados neste ano
CET interdita parcialmente túnel Anhangabaú para manutenção,Túnel Papa João Paulo II será afetado
41 empresas se inscrevem para participar de PPP da iluminação,Empresas têm 80 dias para a apresentação dos estudos de modernização¢ otimização¢ expansão¢ operação e manutenção da infraestrutura da rede de iluminação
Obras em Santo Amaro modificam linhas da região,Obras em Santo Amaro modificam linhas da região
Grupo de trabalho convocará empresas para apresentar documentos sobre recolhimento de ISS,Portaria que cria o grupo de trabalho será publicada nesta quarta no Diário Oficial da Cidade. Força-tarefa será responsável por convocar as empresas a apresentarem documentação sobre recolhimento do ISS e analisar os dados. Caso haja discrepância n
Nota de esclarecimento - IPTU,Trâmites
CAT levará Caravana do Emprego para as quatro regiões da capital a partir de segunda-feira,Sete unidades móveis atenderão semanalmente cada região¢ a começar pela Zona Leste. Ação oferecerá mais de 9 mil vagas de emprego.
Projeto de lei de revisão da Operação Urbana Água Branca é sancionado,Com arrecadação de quase R$ 3 bilhões em Cepacs¢ operação renderá 5 mil moradias populares¢ dois parques lineares e novos equipamentos públicos
Equipes de 15 Subprefeituras realizarão reformas de guias e sarjetas,Mecanismo implantado faz com que água proveniente das chuvas tem uma destinação correta até a boca de lobo mais próxima¢ desta forma¢ evita pontos de alagamentos.
Mais de 200 vias receberão limpeza de bocas de lobo nesta semana,Serviço de manutenção das bocas de lobo¢ realizado manual e mecanicamente¢ tem o objetivo de garantir o escoamento da água e impedir que materiais sólidos¢ retidos durante as chuvas¢ obstruam a drenagem das águas.
Prefeitura irá recorrer de decisão judicial que invalida lei que atualiza PGV,Durante visita à Zona Oeste da cidade¢ prefeito Fernando Haddad afirmou que¢ assim que for notificada¢ a Prefeitura recorrerá da decisão em caráter liminar que invalidou a lei que atualiza a Planta Genérica de Valores e que incide sobre o IPTU
Terrenos para habitação de interesse social terão isenção de IPTU,O prefeito Fernando Haddad sancionou o Projeto de Lei 427/13¢ que desonera e facilita a construção de moradias destinadas à população de baixa renda. Atualmente¢ a cidade conta com 1.502 unidades habitacionais concluídas e mais de 11 mil em obras
Secretaria da Igualdade Racial realiza inscrições para expositores da 1ª Feira da Consciência Negra,Serão 30 selecionados. A lista da seleção será divulgada na próxima quarta-feira (13) na fanpage oficial da SMPIR no facebook.
CAT oferece oficina sobre elaboração de currículo na próxima quarta-feira,O interessado será orientado¢ por exemplo¢ sobre como planejar o currículo para uma boa apresentação e como se comportar em uma entrevista de emprego.
Operação Cata-Bagulho atende 29 subprefeituras neste sábado,A ação tem como finalidade recolher materiais sem utilidade como móveis velhos¢ pedaços de madeira e metal¢ eletrodomésticos quebrados¢ entre outros.
CAT anuncia mais de 9 mil vagas de trabalho na área de alimentação,Os salários variam entre R$ 678¢00 e R$ 2.176¢00¢ com oportunidade para todos os níveis de escolaridade.
Central de Manutenção Semafórica começa a funcionar em novembro,Semáforos se comunicarão com central via GPRS para agilizar a manutenção de equipamentos. Identificação de falhas é imediata e automatizada
Prefeitura abre consulta pública para debater política de privacidade das Praças Digitais,Para falar sobre o tema¢ estarão presentes o secretário de Serviços¢ Simão Pedro¢ e o professor Sérgio Amadeu¢ da Universidade Federal do ABC
Servidores presos em flagrante por receber propina são demitidos da Prefeitura,Segundo os despachos publicados no Diário Oficial de hoje (1º)¢ servidores que exerciam atividades na Subprefeitura de Santo Amaro foram demitidos de seus cargos. Este ano¢ quatro servidores presos em flagrante já foram demitidos da Prefeitura
Governo Federal anuncia R$ 769 milhões para mobilidade urbana na Região Metropolitana de São Paulo,Prefeito Fernando Haddad participou de anúncio da presidenta Dilma Rousseff nesta quinta-feira (7). Investimentos de R$ 769 milhões custearão obras de mobilidade urbana em Guarulhos e Osasco¢ ajudando também no deslocamento na cidade de São Paulo
Prefeitura firma termo de cooperação com países iberoamericanos,Acordo prevê a formulação de programas nas áreas de educação¢ cultura e direitos humanos
Ampliação do Programa VAI incentiva grupos culturais da periferia,Em comemoração aos 10 anos do Programa para Valorização de Iniciativas Culturais – VAI¢ Prefeitura estende abrangência e aumenta o valor do apoio a grupos de jovens de baixa renda envolvidos em atividades artístico-culturais
Mais de 200 vias receberão limpeza de bocas de lobo até segunda-feira,Serviço de manutenção das bocas de lobo¢ realizado manual e mecanicamente¢ tem o objetivo de garantir o escoamento da água e impedir que materiais sólidos¢ retidos durante as chuvas¢ obstruam a drenagem das águas.
Guarda Civil Metropolitana atuará com 533 agentes na Operação Finados,Guarda Civil Metropolitana atuará com 533 agentes na Operação Finados
Mais de 240 vias receberão a operação tapa buraco neste fim de semana,Objetivo da ação é realizar reparos e melhorar a qualidade do asfalto. Somente este ano¢ mais de 323 mil buracos foram tapados na capital.
NOTA: mudanças no processo de recolhimento de ISS,NOTA: mudanças no processo de recolhimento de ISS
Cidade ganha Ecopontos em seis bairros e já possui 73 unidades em funcionamento,Apenas neste ano¢ 15 foram abertos. Apenas em 2013¢ já foram abertos 15 equipamentos.
São Paulo implanta 18 polos da Universidade Aberta do Brasil,Centros de Educação Unificada abrigarão cursos semi-presenciais em parceria com universidades públicas. Professores da rede municipal terão acesso a cursos de capacitação¢ graduação e pós-graduação
Nota de esclarecimento - incêndio,Sobre o ocorrido na academia Smart Fit¢ no Centro.
CGM participará de Congresso Brasileiro de Ouvidores,Ao longo dos três dias¢ serão discutidos tendências e regulamentações para as Ouvidorias¢ seu estágio no Brasil e sua integração através de sistemas tecnológicos¢ além de suas peculiaridades
Nota afastamento - Servidores,Afastamento de servidores suspeitos
Parque Ibirapuera recebe a última edição de 2013 da Feira de Troca de Livros e Gibis,A ação¢ que acontece no próximo domingo (10)¢ das 10h às 15h¢ é um projeto que procura transformar os parques em verdadeiras “bibliotecas” ao ar livre
Capital ganha mais 7¢9 quilômetros de faixas exclusivas para ônibus,Avenidas Jaguaré e Queiroz Filho ganharam 3¢6 km de faixas. Além disso¢ faixa da avenida Corifeu de Azevedo Marques foi ampliada¢ assim como o horário de funcionamento da avenida Mateo Bei. Prefeitura implementou 256 km de vias exclusivas neste ano
Empresas serão convocadas nesta semana para apresentar documentos sobre recolhimento de ISS,Quinze construtoras e incorporadoras citadas na investigação da CGM e Ministério Público serão convocadas  para reapresentar documentos de comprovação de cálculo¢ deduções legais e recolhimento de ISS sobre empreendimentos imobiliários
Catraca dupla diminui tempo de embarques de ônibus em 38%,A Prefeitura vem monitorando ônibus de nove linhas da cidade que passaram a contar com duas catracas¢ sendo uma para passageiros que pagam tarifa em dinheiro e outra para usuários do Bilhete Único. Em média¢ tempo de embarque caiu 38%
Controladoria analisa compatibilidade de patrimônio de outros 16 servidores,Dezesseis servidores estão sendo ouvidos pela Controladoria Geral do Município por apresentarem incompatibilidade entre o patrimônio e salário
Prefeitura lança site para debater política de privacidade das Praças Digitais,Até o fim do ano¢ pelo menos 24 logradouros da cidade de São Paulo ganharão conexão wi-fi gratuita
NOTA DE ESCLARECIMENTO - Auditores fiscais,NOTA DE ESCLARECIMENTO - Auditores fiscais
Córregos da cidade receberão limpeza manual e mecânica,Regiões do Campo Limpo¢ Freguesia do Ó¢ Vila Formosa¢ Lapa e Perus estão na programação de limpeza.
Secretaria de Finanças automatiza emissão do Certificado de Quitação do ISS,Secretaria de Finanças automatiza emissão do Certificado de Quitação do ISSO sistema¢ que informatiza o cálculo do imposto¢ entrará no ar até o final do ano. O estoque de processos abertos e o tempo para emissão do Certificado foram reduzidos em 2013
Áreas verdes de 16 Subprefeituras recebem manutenção durante a semana,Entre janeiro e setembro deste ano¢ mais de 82 milhões de metros quadrados de grama foram cortados em São Paulo
Em dois meses¢ Hora Certa Móvel reduz em até 90% a fila por exames,Mais de 22 mil exames já foram realizados nas unidades móveis em Ermelino Matarazzo¢ Brasilândia e Capela do Socorro. Expectativa da Prefeitura é realizar 215 mil procedimentos em seis meses
Operação Tapa-Buraco passará por mais de 270 vias até quinta-feira,A finalidade da ação é realizar reparos e melhorar a qualidade do asfalto. A operação ocorre diariamente nos períodos diurno e noturno.
Córregos de 13 Subprefeituras receberão limpeza durante a semana,Córregos Novo Mundo¢ Euzébio Coghi e Pedreira estão na programação de limpeza. A ação é realizada constantemente pelas subprefeituras da capital.
Prefeitura se reúne com empresas interessadas em reforma da rede de iluminação da cidade,Empresas tiveram 20 dias para efetuar o cadastramento. No total¢ há 34 companhias interessadas na PPP. Empresas terão até o início de fevereiro para apresentar projetos
Subprefeituras realizam serviço de manutenção em áreas verdes da cidade,Entre os serviços estão corte de mato¢ remoção de detritos e a limpeza de canteiros¢ praças e áreas ajardinadas.
Cidade ganha mais 7¢4 quilômetros de faixas exclusivas para o transporte público,Faixas foram implementadas em diversas regiões da cidade. 'Operação Dá Licença para o Ônibus' já instalou mais de 264 quilômetros desde o início do ano
CET interdita três túneis da cidade para realizar serviços de limpeza e manutenção,A Companhia de Engenharia de Tráfego (CET) vai interditar os túneis Jornalista Odon Pereira e Max Feffer¢ em ambos os sentidos¢ e Jânio Quadros¢ no sentido bairro¢ no horário das 23h30 às 4h30. A interdição ocorrerá a partir desta quarta-feira (13)
Revitalizado¢ Largo do Arouche ganha bancos esculpidos em árvores,Após passar por revitalização¢ espaço da região central atrai novos frequentadores. Local foi entregue hoje com dois novos bancos esculpidos de duas árvores¢ que viraram atração
Nota - Sindicância,Esclarecimentos
Nota - Antônio Donato,Afastamento
Atividades gratuitas em 22 clubes inauguram semana da consciência negra em São Paulo,Serão realizadas atividades como aulas e oficinas de capoeira¢ jogos de basquete de rua¢ natação e futebol¢ além de palestras e debate sobre igualdade racial
Mais de 230 vias receberão limpeza de bocas de lobo nesta semana,Serviço de manutenção das bocas de lobo¢ realizado manual e mecanicamente¢ tem o objetivo de garantir o escoamento da água e impedir que materiais sólidos¢ retidos durante as chuvas¢ obstruam a drenagem das águas.
Nota - Operação Necator,Prefeitura inicia notificação das empresas citadas em investigação da operação Necator
Equipes de 13 Subprefeituras realizarão reformas de guias e sarjetas,Mecanismo implantado faz com que água proveniente das chuvas tem uma destinação correta até a boca de lobo mais próxima¢ desta forma¢ evita pontos de alagamentos.
Anhangabaú terá shows de Dexter e Emicida em comemoração ao Dia da Consciência Negra,Vale do Anhangabaú receberá uma série de atrações entre os dias 19 e 20 de novembro. Além de shows de artistas como Emicida¢ Arlindo Cruz e Dexter¢ local terá ainda feira gastronômica e cultural
Córregos de 11 Subprefeituras receberão limpeza até sexta-feira,Córregos das regiões do Butantã¢ Campo Limpo¢ Itaquera e Perus estão na programação de limpeza. A ação é realizada constantemente pelas subprefeituras da capital.
Subprefeituras realizam serviço de manutenção em áreas verdes da cidade,Entre os serviços estão corte de mato¢ remoção de detritos e a limpeza de canteiros¢ praças e áreas ajardinadas.
O que abre e o que fecha no feriado do Dia da Consciência Negra,Na próxima quarta-feira (20)¢ feriado do Dia da Consciência Negra¢ alguns serviços da Prefeitura de São Paulo oferecidos à população terão um esquema especial de atendimento
Operação Tapa-Buraco passará por mais de 220 vias até quinta-feira,A finalidade da ação é realizar reparos e melhorar a qualidade do asfalto. A operação ocorre diariamente nos períodos diurno e noturno.
Conselhos Tutelares recebem 44 novos veículos do governo federal,Cada um dos conselhos tutelares da cidade também recebeu cinco novos computadores¢ totalizando 220 equipamentos. Hoje é comemorado o Dia Nacional do Conselheiro Tutelar
